FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
4/20/2026 9:14:51 PM,4/21/2026 12:01:51 AM,2:47:00,0:01:00,223,168,57,Motor 17
Max Time,Max,Average,Min,Min Time,Scaling,
4/20/2026 9:15:43 PM,10.143 V DC,9.873 V DC,8.651 V DC,4/20/2026 9:30:46 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
28,10.042 V DC,4/20/2026 21:24:50.6,0:01:00.0,4/20/2026 21:25:42.1,10.076 V DC,10.056 V DC,4/20/2026 21:25:04.9,9.979 V DC,Interval,4/20/2026 21:25:50.5
29,10.074 V DC,4/20/2026 21:25:50.5,0:01:00.1,4/20/2026 21:26:22.8,10.078 V DC,10.059 V DC,4/20/2026 21:26:15.6,9.959 V DC,Interval,4/20/2026 21:26:50.6
30,10.073 V DC,4/20/2026 21:26:50.6,0:01:00.3,4/20/2026 21:26:58.1,10.076 V DC,10.055 V DC,4/20/2026 21:27:38.7,9.963 V DC,Interval,4/20/2026 21:27:50.8
31,10.068 V DC,4/20/2026 21:27:50.8,0:00:59.7,4/20/2026 21:27:52.3,10.074 V DC,10.054 V DC,4/20/2026 21:28:05.8,9.966 V DC,Interval,4/20/2026 21:28:50.5
32,10.022 V DC,4/20/2026 21:28:50.5,0:01:00.1,4/20/2026 21:28:51.5,10.071 V DC,10.042 V DC,4/20/2026 21:29:35.5,9.959 V DC,Interval,4/20/2026 21:29:50.6
33,10.066 V DC,4/20/2026 21:29:50.6,0:00:46.3,4/20/2026 21:29:51.7,10.068 V DC,10.048 V DC,4/20/2026 21:30:14.7,9.969 V DC,Stable,4/20/2026 21:30:36.9
34,9.455 V DC,4/20/2026 21:30:36.9,0:00:01.9,4/20/2026 21:30:37.4,9.903 V DC,9.255 V DC,4/20/2026 21:30:37.7,8.752 V DC,Unstable,4/20/2026 21:30:38.8
35,9.884 V DC,4/20/2026 21:30:38.8,0:00:02.6,4/20/2026 21:30:41.1,9.998 V DC,9.944 V DC,4/20/2026 21:30:39.0,9.860 V DC,Stable,4/20/2026 21:30:41.4
36,10.001 V DC,4/20/2026 21:30:41.4,0:00:03.8,4/20/2026 21:30:42.5,10.010 V DC,9.985 V DC,4/20/2026 21:30:41.5,9.926 V DC,Stable,4/20/2026 21:30:45.2
37,9.121 V DC,4/20/2026 21:30:45.2,0:00:02.6,4/20/2026 21:30:47.0,9.754 V DC,9.002 V DC,4/20/2026 21:30:46.2,8.651 V DC,Unstable,4/20/2026 21:30:47.8
38,9.797 V DC,4/20/2026 21:30:47.8,0:00:01.3,4/20/2026 21:30:49.0,9.905 V DC,9.861 V DC,4/20/2026 21:30:47.8,9.797 V DC,Stable,4/20/2026 21:30:49.1
39,9.910 V DC,4/20/2026 21:30:49.1,0:00:01.4,4/20/2026 21:30:50.2,9.936 V DC,9.916 V DC,4/20/2026 21:30:49.2,9.886 V DC,Interval,4/20/2026 21:30:50.5
40,9.942 V DC,4/20/2026 21:30:50.5,0:00:25.5,4/20/2026 21:31:14.6,10.021 V DC,9.990 V DC,4/20/2026 21:30:50.6,9.902 V DC,Stable,4/20/2026 21:31:16.0
41,10.022 V DC,4/20/2026 21:31:16.0,0:00:34.5,4/20/2026 21:31:48.1,10.034 V DC,10.015 V DC,4/20/2026 21:31:18.8,9.947 V DC,Interval,4/20/2026 21:31:50.5
42,10.032 V DC,4/20/2026 21:31:50.5,0:01:00.1,4/20/2026 21:32:46.7,10.039 V DC,10.023 V DC,4/20/2026 21:32:20.4,9.960 V DC,Interval,4/20/2026 21:32:50.6
43,10.029 V DC,4/20/2026 21:32:50.6,0:00:27.4,4/20/2026 21:33:16.4,10.041 V DC,10.025 V DC,4/20/2026 21:32:58.1,9.962 V DC,Stable,4/20/2026 21:33:17.9
