FLUKE 289,  V1.16,  40810170

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/2/2025 5:47:07 PM,12/3/2025 12:51:12 PM,19:04:05,0:00:30,8740,2289,6740,Motor 3
Max Time,Max,Average,Min,Min Time,Scaling,
12/2/2025 5:48:57 PM,9.505 V DC,6.5106 V DC,0.2152 V DC,12/2/2025 5:47:10 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
28,9.373 V DC,12/2/2025 17:51:43.8,0:00:00.1,12/2/2025 17:51:43.8,9.373 V DC,9.373 V DC,12/2/2025 17:51:43.8,9.373 V DC,Unstable,12/2/2025 17:51:43.9
29,9.472 V DC,12/2/2025 17:51:43.9,0:00:18.3,12/2/2025 17:51:49.1,9.487 V DC,9.474 V DC,12/2/2025 17:51:55.2,9.382 V DC,Stable,12/2/2025 17:52:02.2
30,9.370 V DC,12/2/2025 17:52:02.2,0:00:04.6,12/2/2025 17:52:04.6,9.484 V DC,9.468 V DC,12/2/2025 17:52:02.2,9.370 V DC,Interval,12/2/2025 17:52:06.8
31,9.483 V DC,12/2/2025 17:52:06.8,0:00:30.0,12/2/2025 17:52:15.3,9.488 V DC,9.474 V DC,12/2/2025 17:52:21.8,9.386 V DC,Interval,12/2/2025 17:52:36.8
32,9.486 V DC,12/2/2025 17:52:36.8,0:00:15.6,12/2/2025 17:52:36.8,9.486 V DC,9.472 V DC,12/2/2025 17:52:37.4,9.396 V DC,Stable,12/2/2025 17:52:52.4
33,9.357 V DC,12/2/2025 17:52:52.4,0:00:14.4,12/2/2025 17:52:57.5,9.486 V DC,9.465 V DC,12/2/2025 17:53:00.9,9.343 V DC,Interval,12/2/2025 17:53:06.8
34,9.478 V DC,12/2/2025 17:53:06.8,0:00:30.0,12/2/2025 17:53:11.1,9.485 V DC,9.470 V DC,12/2/2025 17:53:14.7,9.376 V DC,Interval,12/2/2025 17:53:36.8
35,9.471 V DC,12/2/2025 17:53:36.8,0:00:14.6,12/2/2025 17:53:47.9,9.486 V DC,9.475 V DC,12/2/2025 17:53:39.6,9.383 V DC,Stable,12/2/2025 17:53:51.4
36,9.377 V DC,12/2/2025 17:53:51.4,0:00:00.9,12/2/2025 17:53:51.8,9.482 V DC,9.450 V DC,12/2/2025 17:53:51.4,9.377 V DC,Unstable,12/2/2025 17:53:52.3
37,9.483 V DC,12/2/2025 17:53:52.3,0:00:14.6,12/2/2025 17:54:01.2,9.486 V DC,9.474 V DC,12/2/2025 17:53:52.9,9.430 V DC,Interval,12/2/2025 17:54:06.8
38,9.481 V DC,12/2/2025 17:54:06.8,0:00:03.5,12/2/2025 17:54:07.4,9.484 V DC,9.469 V DC,12/2/2025 17:54:09.1,9.418 V DC,Stable,12/2/2025 17:54:10.4
39,9.381 V DC,12/2/2025 17:54:10.4,0:00:26.5,12/2/2025 17:54:28.2,9.485 V DC,9.470 V DC,12/2/2025 17:54:10.4,9.381 V DC,Interval,12/2/2025 17:54:36.8
40,9.483 V DC,12/2/2025 17:54:36.8,0:00:30.0,12/2/2025 17:54:44.2,9.485 V DC,9.473 V DC,12/2/2025 17:55:04.4,9.401 V DC,Interval,12/2/2025 17:55:06.8
41,9.481 V DC,12/2/2025 17:55:06.8,0:00:01.3,12/2/2025 17:55:07.3,9.484 V DC,9.468 V DC,12/2/2025 17:55:08.0,9.406 V DC,Stable,12/2/2025 17:55:08.1
42,9.334 V DC,12/2/2025 17:55:08.1,0:00:00.2,12/2/2025 17:55:08.2,9.364 V DC,9.349 V DC,12/2/2025 17:55:08.1,9.334 V DC,Unstable,12/2/2025 17:55:08.3
43,9.466 V DC,12/2/2025 17:55:08.3,0:00:02.8,12/2/2025 17:55:10.6,9.485 V DC,9.479 V DC,12/2/2025 17:55:11.0,9.457 V DC,Stable,12/2/2025 17:55:11.1
44,9.236 V DC,12/2/2025 17:55:11.1,0:00:06.6,12/2/2025 17:55:11.6,9.381 V DC,8.745 V DC,12/2/2025 17:55:15.0,7.817 V DC,Unstable,12/2/2025 17:55:17.8
45,9.290 V DC,12/2/2025 17:55:17.8,0:00:02.6,12/2/2025 17:55:20.0,9.353 V DC,9.328 V DC,12/2/2025 17:55:17.8,9.290 V DC,Stable,12/2/2025 17:55:20.4
46,8.582 V DC,12/2/2025 17:55:20.4,0:00:06.0,12/2/2025 17:55:20.9,9.273 V DC,8.604 V DC,12/2/2025 17:55:25.9,7.765 V DC,Unstable,12/2/2025 17:55:26.4
47,9.177 V DC,12/2/2025 17:55:26.4,0:00:01.9,12/2/2025 17:55:28.2,9.253 V DC,9.209 V DC,12/2/2025 17:55:26.7,9.147 V DC,Stable,12/2/2025 17:55:28.3
48,9.264 V DC,12/2/2025 17:55:28.3,0:00:06.0,12/2/2025 17:55:34.3,9.337 V DC,9.295 V DC,12/2/2025 17:55:28.6,9.222 V DC,Stable,12/2/2025 17:55:34.4
49,9.339 V DC,12/2/2025 17:55:34.4,0:00:02.4,12/2/2025 17:55:36.7,9.353 V DC,9.335 V DC,12/2/2025 17:55:36.4,9.291 V DC,Interval,12/2/2025 17:55:36.8
50,9.285 V DC,12/2/2025 17:55:36.8,0:00:26.9,12/2/2025 17:56:02.0,9.408 V DC,9.378 V DC,12/2/2025 17:55:36.8,9.285 V DC,Stable,12/2/2025 17:56:03.6
51,9.409 V DC,12/2/2025 17:56:03.6,0:00:03.1,12/2/2025 17:56:05.9,9.413 V DC,9.401 V DC,12/2/2025 17:56:06.5,9.350 V DC,Interval,12/2/2025 17:56:06.8
52,9.413 V DC,12/2/2025 17:56:06.8,0:00:30.2,12/2/2025 17:56:35.4,9.429 V DC,9.408 V DC,12/2/2025 17:56:31.7,9.312 V DC,Interval,12/2/2025 17:56:36.9
53,9.426 V DC,12/2/2025 17:56:36.9,0:00:29.9,12/2/2025 17:57:03.1,9.437 V DC,9.422 V DC,12/2/2025 17:56:51.7,9.355 V DC,Interval,12/2/2025 17:57:06.8
54,9.431 V DC,12/2/2025 17:57:06.8,0:00:30.0,12/2/2025 17:57:35.3,9.440 V DC,9.423 V DC,12/2/2025 17:57:23.9,9.332 V DC,Interval,12/2/2025 17:57:36.8
55,9.388 V DC,12/2/2025 17:57:36.8,0:00:19.1,12/2/2025 17:57:47.4,9.441 V DC,9.427 V DC,12/2/2025 17:57:54.1,9.335 V DC,Stable,12/2/2025 17:57:55.9
56,9.311 V DC,12/2/2025 17:57:55.9,0:00:00.1,12/2/2025 17:57:55.9,9.311 V DC,9.311 V DC,12/2/2025 17:57:55.9,9.311 V DC,Unstable,12/2/2025 17:57:56.0
57,9.412 V DC,12/2/2025 17:57:56.0,0:00:04.6,12/2/2025 17:57:57.4,9.440 V DC,9.427 V DC,12/2/2025 17:58:00.4,9.358 V DC,Stable,12/2/2025 17:58:00.6
58,9.327 V DC,12/2/2025 17:58:00.6,0:00:06.1,12/2/2025 17:58:05.1,9.439 V DC,9.424 V DC,12/2/2025 17:58:00.6,9.327 V DC,Interval,12/2/2025 17:58:06.8
59,9.439 V DC,12/2/2025 17:58:06.8,0:00:13.7,12/2/2025 17:58:11.7,9.442 V DC,9.431 V DC,12/2/2025 17:58:11.8,9.383 V DC,Stable,12/2/2025 17:58:20.5
60,9.339 V DC,12/2/2025 17:58:20.5,0:00:16.3,12/2/2025 17:58:32.6,9.444 V DC,9.431 V DC,12/2/2025 17:58:20.5,9.339 V DC,Interval,12/2/2025 17:58:36.8
61,9.444 V DC,12/2/2025 17:58:36.8,0:00:05.0,12/2/2025 17:58:36.8,9.444 V DC,9.432 V DC,12/2/2025 17:58:41.0,9.377 V DC,Stable,12/2/2025 17:58:41.8
62,9.336 V DC,12/2/2025 17:58:41.8,0:00:25.1,12/2/2025 17:58:52.2,9.445 V DC,9.430 V DC,12/2/2025 17:58:41.8,9.336 V DC,Interval,12/2/2025 17:59:06.8
63,9.441 V DC,12/2/2025 17:59:06.8,0:00:03.7,12/2/2025 17:59:07.1,9.442 V DC,9.426 V DC,12/2/2025 17:59:10.5,9.382 V DC,Stable,12/2/2025 17:59:10.6
64,9.306 V DC,12/2/2025 17:59:10.6,0:00:00.1,12/2/2025 17:59:10.6,9.306 V DC,9.306 V DC,12/2/2025 17:59:10.6,9.306 V DC,Unstable,12/2/2025 17:59:10.7
65,9.426 V DC,12/2/2025 17:59:10.7,0:00:26.2,12/2/2025 17:59:20.4,9.444 V DC,9.431 V DC,12/2/2025 17:59:28.9,9.362 V DC,Interval,12/2/2025 17:59:36.8
66,9.441 V DC,12/2/2025 17:59:36.8,0:00:15.6,12/2/2025 17:59:44.0,9.444 V DC,9.432 V DC,12/2/2025 17:59:37.9,9.353 V DC,Stable,12/2/2025 17:59:52.4
67,9.331 V DC,12/2/2025 17:59:52.4,0:00:14.4,12/2/2025 18:00:00.5,9.445 V DC,9.430 V DC,12/2/2025 17:59:52.4,9.331 V DC,Interval,12/2/2025 18:00:06.8
68,9.440 V DC,12/2/2025 18:00:06.8,0:00:13.3,12/2/2025 18:00:11.8,9.444 V DC,9.430 V DC,12/2/2025 18:00:12.4,9.377 V DC,Stable,12/2/2025 18:00:20.1
69,9.331 V DC,12/2/2025 18:00:20.1,0:00:16.7,12/2/2025 18:00:25.5,9.444 V DC,9.430 V DC,12/2/2025 18:00:21.7,9.313 V DC,Interval,12/2/2025 18:00:36.8
70,9.435 V DC,12/2/2025 18:00:36.8,0:00:20.6,12/2/2025 18:00:39.3,9.444 V DC,9.431 V DC,12/2/2025 18:00:44.2,9.362 V DC,Stable,12/2/2025 18:00:57.4
71,9.343 V DC,12/2/2025 18:00:57.4,0:00:09.4,12/2/2025 18:00:58.0,9.443 V DC,9.428 V DC,12/2/2025 18:00:57.4,9.343 V DC,Interval,12/2/2025 18:01:06.8
72,9.437 V DC,12/2/2025 18:01:06.8,0:00:07.1,12/2/2025 18:01:07.7,9.443 V DC,9.429 V DC,12/2/2025 18:01:10.2,9.366 V DC,Stable,12/2/2025 18:01:13.9
73,9.342 V DC,12/2/2025 18:01:13.9,0:00:22.9,12/2/2025 18:01:35.3,9.443 V DC,9.425 V DC,12/2/2025 18:01:22.5,9.331 V DC,Interval,12/2/2025 18:01:36.8
74,9.442 V DC,12/2/2025 18:01:36.8,0:00:30.0,12/2/2025 18:02:02.3,9.443 V DC,9.430 V DC,12/2/2025 18:01:55.1,9.352 V DC,Interval,12/2/2025 18:02:06.8
75,9.423 V DC,12/2/2025 18:02:06.8,0:00:30.0,12/2/2025 18:02:08.4,9.443 V DC,9.429 V DC,12/2/2025 18:02:23.9,9.350 V DC,Interval,12/2/2025 18:02:36.8
76,9.416 V DC,12/2/2025 18:02:36.8,0:00:03.1,12/2/2025 18:02:38.0,9.441 V DC,9.425 V DC,12/2/2025 18:02:39.6,9.365 V DC,Stable,12/2/2025 18:02:39.9
77,9.329 V DC,12/2/2025 18:02:39.9,0:00:26.9,12/2/2025 18:02:45.6,9.441 V DC,9.427 V DC,12/2/2025 18:02:39.9,9.329 V DC,Interval,12/2/2025 18:03:06.8
78,9.419 V DC,12/2/2025 18:03:06.8,0:00:13.2,12/2/2025 18:03:11.7,9.440 V DC,9.427 V DC,12/2/2025 18:03:19.8,9.350 V DC,Stable,12/2/2025 18:03:20.0
79,9.315 V DC,12/2/2025 18:03:20.0,0:00:00.1,12/2/2025 18:03:20.0,9.315 V DC,9.315 V DC,12/2/2025 18:03:20.0,9.315 V DC,Unstable,12/2/2025 18:03:20.1
80,9.412 V DC,12/2/2025 18:03:20.1,0:00:16.7,12/2/2025 18:03:26.7,9.440 V DC,9.426 V DC,12/2/2025 18:03:20.5,9.336 V DC,Interval,12/2/2025 18:03:36.8
81,9.386 V DC,12/2/2025 18:03:36.8,0:00:30.1,12/2/2025 18:03:42.3,9.441 V DC,9.427 V DC,12/2/2025 18:04:01.8,9.363 V DC,Interval,12/2/2025 18:04:06.8
82,9.437 V DC,12/2/2025 18:04:06.8,0:00:30.0,12/2/2025 18:04:18.6,9.440 V DC,9.427 V DC,12/2/2025 18:04:28.7,9.363 V DC,Interval,12/2/2025 18:04:36.8
83,9.436 V DC,12/2/2025 18:04:36.8,0:00:02.4,12/2/2025 18:04:36.9,9.437 V DC,9.424 V DC,12/2/2025 18:04:38.0,9.388 V DC,Stable,12/2/2025 18:04:39.2
84,9.334 V DC,12/2/2025 18:04:39.2,0:00:27.6,12/2/2025 18:05:06.2,9.438 V DC,9.424 V DC,12/2/2025 18:04:39.2,9.334 V DC,Interval,12/2/2025 18:05:06.8
85,9.434 V DC,12/2/2025 18:05:06.8,0:00:00.7,12/2/2025 18:05:06.9,9.438 V DC,9.410 V DC,12/2/2025 18:05:07.4,9.316 V DC,Unstable,12/2/2025 18:05:07.5
86,9.420 V DC,12/2/2025 18:05:07.5,0:00:24.2,12/2/2025 18:05:26.7,9.437 V DC,9.422 V DC,12/2/2025 18:05:23.3,9.352 V DC,Stable,12/2/2025 18:05:31.7
87,9.328 V DC,12/2/2025 18:05:31.7,0:00:05.0,12/2/2025 18:05:33.5,9.436 V DC,9.424 V DC,12/2/2025 18:05:31.7,9.328 V DC,Interval,12/2/2025 18:05:36.8
88,9.432 V DC,12/2/2025 18:05:36.8,0:00:10.8,12/2/2025 18:05:36.9,9.436 V DC,9.420 V DC,12/2/2025 18:05:42.0,9.352 V DC,Stable,12/2/2025 18:05:47.5
89,9.332 V DC,12/2/2025 18:05:47.5,0:00:19.2,12/2/2025 18:05:55.6,9.437 V DC,9.421 V DC,12/2/2025 18:05:47.5,9.332 V DC,Interval,12/2/2025 18:06:06.8
90,9.433 V DC,12/2/2025 18:06:06.8,0:00:03.1,12/2/2025 18:06:07.4,9.435 V DC,9.419 V DC,12/2/2025 18:06:09.4,9.344 V DC,Stable,12/2/2025 18:06:09.9
91,9.317 V DC,12/2/2025 18:06:09.9,0:00:27.0,12/2/2025 18:06:32.7,9.435 V DC,9.420 V DC,12/2/2025 18:06:09.9,9.317 V DC,Interval,12/2/2025 18:06:36.8
92,9.434 V DC,12/2/2025 18:06:36.8,0:00:01.6,12/2/2025 18:06:36.8,9.434 V DC,9.419 V DC,12/2/2025 18:06:38.2,9.379 V DC,Stable,12/2/2025 18:06:38.4
93,9.300 V DC,12/2/2025 18:06:38.4,0:00:00.1,12/2/2025 18:06:38.4,9.300 V DC,9.300 V DC,12/2/2025 18:06:38.4,9.300 V DC,Unstable,12/2/2025 18:06:38.5
