FLUKE 289,  V1.16,  40810170 Douglas Hutchings

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
12/3/2025 2:07:06 PM,12/3/2025 8:38:57 PM,6:31:50,0:00:20,6207,1176,5417,Motor 4
Max Time,Max,Average,Min,Min Time,Scaling,
12/3/2025 2:07:06 PM,8.519 V DC,8.081 V DC,-0.0075 V DC,12/3/2025 8:38:55 PM,(none)

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
28,8.437 V DC,12/3/2025 14:08:05.5,0:00:00.1,12/3/2025 14:08:05.5,8.437 V DC,8.437 V DC,12/3/2025 14:08:05.5,8.437 V DC,Interval,12/3/2025 14:08:05.6
29,8.451 V DC,12/3/2025 14:08:05.6,0:00:01.0,12/3/2025 14:08:05.9,8.462 V DC,8.433 V DC,12/3/2025 14:08:06.3,8.342 V DC,Unstable,12/3/2025 14:08:06.6
30,8.351 V DC,12/3/2025 14:08:06.6,0:00:02.9,12/3/2025 14:08:07.5,8.457 V DC,8.413 V DC,12/3/2025 14:08:08.3,8.316 V DC,Stable,12/3/2025 14:08:09.5
31,8.222 V DC,12/3/2025 14:08:09.5,0:00:01.7,12/3/2025 14:08:10.0,8.462 V DC,8.393 V DC,12/3/2025 14:08:10.2,8.199 V DC,Unstable,12/3/2025 14:08:11.2
32,8.436 V DC,12/3/2025 14:08:11.2,0:00:02.2,12/3/2025 14:08:13.0,8.468 V DC,8.437 V DC,12/3/2025 14:08:11.5,8.363 V DC,Stable,12/3/2025 14:08:13.4
33,8.307 V DC,12/3/2025 14:08:13.4,0:00:03.2,12/3/2025 14:08:16.0,8.462 V DC,8.417 V DC,12/3/2025 14:08:16.1,8.292 V DC,Unstable,12/3/2025 14:08:16.7
34,8.361 V DC,12/3/2025 14:08:16.7,0:00:01.9,12/3/2025 14:08:17.3,8.467 V DC,8.431 V DC,12/3/2025 14:08:17.8,8.321 V DC,Stable,12/3/2025 14:08:18.6
35,8.290 V DC,12/3/2025 14:08:18.6,0:00:00.7,12/3/2025 14:08:19.1,8.457 V DC,8.398 V DC,12/3/2025 14:08:18.6,8.290 V DC,Unstable,12/3/2025 14:08:19.3
36,8.412 V DC,12/3/2025 14:08:19.3,0:00:01.8,12/3/2025 14:08:20.7,8.460 V DC,8.430 V DC,12/3/2025 14:08:19.6,8.353 V DC,Stable,12/3/2025 14:08:21.1
37,8.280 V DC,12/3/2025 14:08:21.1,0:00:01.6,12/3/2025 14:08:21.9,8.460 V DC,8.390 V DC,12/3/2025 14:08:21.1,8.280 V DC,Unstable,12/3/2025 14:08:22.7
38,8.436 V DC,12/3/2025 14:08:22.7,0:00:01.1,12/3/2025 14:08:23.3,8.462 V DC,8.428 V DC,12/3/2025 14:08:23.4,8.377 V DC,Stable,12/3/2025 14:08:23.8
39,8.338 V DC,12/3/2025 14:08:23.8,0:00:00.1,12/3/2025 14:08:23.8,8.338 V DC,8.338 V DC,12/3/2025 14:08:23.8,8.338 V DC,Unstable,12/3/2025 14:08:23.9
40,8.440 V DC,12/3/2025 14:08:23.9,0:00:01.5,12/3/2025 14:08:24.9,8.466 V DC,8.442 V DC,12/3/2025 14:08:24.6,8.385 V DC,Stable,12/3/2025 14:08:25.4
41,8.326 V DC,12/3/2025 14:08:25.4,0:00:00.1,12/3/2025 14:08:25.4,8.326 V DC,8.326 V DC,12/3/2025 14:08:25.4,8.326 V DC,Unstable,12/3/2025 14:08:25.5
42,8.436 V DC,12/3/2025 14:08:25.5,0:00:00.1,12/3/2025 14:08:25.5,8.436 V DC,8.436 V DC,12/3/2025 14:08:25.5,8.436 V DC,Interval,12/3/2025 14:08:25.6
43,8.457 V DC,12/3/2025 14:08:25.6,0:00:00.8,12/3/2025 14:08:26.0,8.462 V DC,8.431 V DC,12/3/2025 14:08:25.7,8.328 V DC,Unstable,12/3/2025 14:08:26.4
44,8.350 V DC,12/3/2025 14:08:26.4,0:00:02.6,12/3/2025 14:08:27.5,8.464 V DC,8.421 V DC,12/3/2025 14:08:27.9,8.318 V DC,Stable,12/3/2025 14:08:29.0
45,8.295 V DC,12/3/2025 14:08:29.0,0:00:00.4,12/3/2025 14:08:29.2,8.454 V DC,8.383 V DC,12/3/2025 14:08:29.0,8.295 V DC,Unstable,12/3/2025 14:08:29.4
46,8.443 V DC,12/3/2025 14:08:29.4,0:00:01.6,12/3/2025 14:08:30.4,8.463 V DC,8.432 V DC,12/3/2025 14:08:30.9,8.369 V DC,Stable,12/3/2025 14:08:31.1
47,8.278 V DC,12/3/2025 14:08:31.1,0:00:04.1,12/3/2025 14:08:31.5,8.464 V DC,8.391 V DC,12/3/2025 14:08:32.3,8.205 V DC,Unstable,12/3/2025 14:08:35.2
48,8.396 V DC,12/3/2025 14:08:35.2,0:00:02.0,12/3/2025 14:08:35.7,8.461 V DC,8.432 V DC,12/3/2025 14:08:36.2,8.349 V DC,Stable,12/3/2025 14:08:37.2
49,8.321 V DC,12/3/2025 14:08:37.2,0:00:02.4,12/3/2025 14:08:38.0,8.467 V DC,8.417 V DC,12/3/2025 14:08:39.5,8.312 V DC,Unstable,12/3/2025 14:08:39.6
50,8.441 V DC,12/3/2025 14:08:39.6,0:00:03.9,12/3/2025 14:08:42.0,8.469 V DC,8.424 V DC,12/3/2025 14:08:39.9,8.328 V DC,Stable,12/3/2025 14:08:43.5
51,8.204 V DC,12/3/2025 14:08:43.5,0:00:00.4,12/3/2025 14:08:43.7,8.447 V DC,8.334 V DC,12/3/2025 14:08:43.5,8.204 V DC,Unstable,12/3/2025 14:08:43.9
52,8.429 V DC,12/3/2025 14:08:43.9,0:00:01.6,12/3/2025 14:08:44.5,8.462 V DC,8.438 V DC,12/3/2025 14:08:45.3,8.392 V DC,Interval,12/3/2025 14:08:45.5
53,8.258 V DC,12/3/2025 14:08:45.5,0:00:00.7,12/3/2025 14:08:45.7,8.452 V DC,8.349 V DC,12/3/2025 14:08:46.1,8.150 V DC,Unstable,12/3/2025 14:08:46.2
54,8.367 V DC,12/3/2025 14:08:46.2,0:00:01.7,12/3/2025 14:08:47.0,8.461 V DC,8.430 V DC,12/3/2025 14:08:47.6,8.358 V DC,Stable,12/3/2025 14:08:48.0
55,8.290 V DC,12/3/2025 14:08:48.0,0:00:00.1,12/3/2025 14:08:48.0,8.290 V DC,8.290 V DC,12/3/2025 14:08:48.0,8.290 V DC,Unstable,12/3/2025 14:08:48.1
56,8.377 V DC,12/3/2025 14:08:48.1,0:00:02.1,12/3/2025 14:08:50.1,8.467 V DC,8.429 V DC,12/3/2025 14:08:49.1,8.353 V DC,Stable,12/3/2025 14:08:50.2
57,8.243 V DC,12/3/2025 14:08:50.2,0:00:01.9,12/3/2025 14:08:51.0,8.470 V DC,8.360 V DC,12/3/2025 14:08:51.2,7.949 V DC,Unstable,12/3/2025 14:08:52.1
58,8.429 V DC,12/3/2025 14:08:52.1,0:00:03.1,12/3/2025 14:08:54.1,8.469 V DC,8.442 V DC,12/3/2025 14:08:52.3,8.362 V DC,Stable,12/3/2025 14:08:55.2
59,8.325 V DC,12/3/2025 14:08:55.2,0:00:00.8,12/3/2025 14:08:55.7,8.459 V DC,8.380 V DC,12/3/2025 14:08:55.9,8.198 V DC,Unstable,12/3/2025 14:08:56.0
60,8.408 V DC,12/3/2025 14:08:56.0,0:00:02.0,12/3/2025 14:08:57.0,8.460 V DC,8.424 V DC,12/3/2025 14:08:56.3,8.356 V DC,Stable,12/3/2025 14:08:58.0
61,8.320 V DC,12/3/2025 14:08:58.0,0:00:00.1,12/3/2025 14:08:58.0,8.320 V DC,8.320 V DC,12/3/2025 14:08:58.0,8.320 V DC,Unstable,12/3/2025 14:08:58.1
62,8.440 V DC,12/3/2025 14:08:58.1,0:00:01.7,12/3/2025 14:08:58.3,8.455 V DC,8.423 V DC,12/3/2025 14:08:59.6,8.363 V DC,Stable,12/3/2025 14:08:59.8
63,8.330 V DC,12/3/2025 14:08:59.8,0:00:00.5,12/3/2025 14:09:00.2,8.446 V DC,8.395 V DC,12/3/2025 14:08:59.8,8.330 V DC,Unstable,12/3/2025 14:09:00.3
64,8.349 V DC,12/3/2025 14:09:00.3,0:00:02.2,12/3/2025 14:09:01.0,8.462 V DC,8.418 V DC,12/3/2025 14:09:02.3,8.309 V DC,Stable,12/3/2025 14:09:02.5
65,8.277 V DC,12/3/2025 14:09:02.5,0:00:02.8,12/3/2025 14:09:05.0,8.460 V DC,8.406 V DC,12/3/2025 14:09:03.1,8.271 V DC,Unstable,12/3/2025 14:09:05.4
66,8.350 V DC,12/3/2025 14:09:05.4,0:00:00.2,12/3/2025 14:09:05.5,8.427 V DC,8.389 V DC,12/3/2025 14:09:05.4,8.350 V DC,Interval,12/3/2025 14:09:05.6
67,8.267 V DC,12/3/2025 14:09:05.6,0:00:03.5,12/3/2025 14:09:07.2,8.458 V DC,8.396 V DC,12/3/2025 14:09:07.9,8.266 V DC,Unstable,12/3/2025 14:09:09.1
68,8.435 V DC,12/3/2025 14:09:09.1,0:00:01.0,12/3/2025 14:09:09.3,8.459 V DC,8.439 V DC,12/3/2025 14:09:09.4,8.377 V DC,Stable,12/3/2025 14:09:10.1
69,8.267 V DC,12/3/2025 14:09:10.1,0:00:04.8,12/3/2025 14:09:13.5,8.466 V DC,8.403 V DC,12/3/2025 14:09:12.8,8.237 V DC,Unstable,12/3/2025 14:09:14.9
70,8.426 V DC,12/3/2025 14:09:14.9,0:00:01.3,12/3/2025 14:09:16.1,8.464 V DC,8.439 V DC,12/3/2025 14:09:15.0,8.362 V DC,Stable,12/3/2025 14:09:16.2
71,8.297 V DC,12/3/2025 14:09:16.2,0:00:03.4,12/3/2025 14:09:18.9,8.460 V DC,8.394 V DC,12/3/2025 14:09:18.1,8.162 V DC,Unstable,12/3/2025 14:09:19.7
72,8.358 V DC,12/3/2025 14:09:19.7,0:00:03.3,12/3/2025 14:09:22.6,8.470 V DC,8.436 V DC,12/3/2025 14:09:22.7,8.333 V DC,Stable,12/3/2025 14:09:23.0
73,8.269 V DC,12/3/2025 14:09:23.0,0:00:00.8,12/3/2025 14:09:23.6,8.458 V DC,8.376 V DC,12/3/2025 14:09:23.3,8.253 V DC,Unstable,12/3/2025 14:09:23.8
74,8.424 V DC,12/3/2025 14:09:23.8,0:00:01.8,12/3/2025 14:09:24.6,8.461 V DC,8.435 V DC,12/3/2025 14:09:25.3,8.374 V DC,Interval,12/3/2025 14:09:25.6
75,8.398 V DC,12/3/2025 14:09:25.6,0:00:00.5,12/3/2025 14:09:25.6,8.398 V DC,8.315 V DC,12/3/2025 14:09:25.8,8.177 V DC,Unstable,12/3/2025 14:09:26.1
76,8.403 V DC,12/3/2025 14:09:26.1,0:00:03.4,12/3/2025 14:09:27.0,8.463 V DC,8.431 V DC,12/3/2025 14:09:29.2,8.354 V DC,Stable,12/3/2025 14:09:29.5
77,8.306 V DC,12/3/2025 14:09:29.5,0:00:00.6,12/3/2025 14:09:30.0,8.455 V DC,8.399 V DC,12/3/2025 14:09:29.5,8.306 V DC,Unstable,12/3/2025 14:09:30.1
78,8.460 V DC,12/3/2025 14:09:30.1,0:00:01.1,12/3/2025 14:09:30.3,8.465 V DC,8.439 V DC,12/3/2025 14:09:30.5,8.379 V DC,Stable,12/3/2025 14:09:31.2
79,8.139 V DC,12/3/2025 14:09:31.2,0:00:00.2,12/3/2025 14:09:31.3,8.293 V DC,8.216 V DC,12/3/2025 14:09:31.2,8.139 V DC,Unstable,12/3/2025 14:09:31.4
80,8.423 V DC,12/3/2025 14:09:31.4,0:00:02.3,12/3/2025 14:09:32.8,8.461 V DC,8.432 V DC,12/3/2025 14:09:31.9,8.384 V DC,Stable,12/3/2025 14:09:33.7
81,8.283 V DC,12/3/2025 14:09:33.7,0:00:01.4,12/3/2025 14:09:34.3,8.459 V DC,8.402 V DC,12/3/2025 14:09:33.7,8.283 V DC,Unstable,12/3/2025 14:09:35.1
82,8.440 V DC,12/3/2025 14:09:35.1,0:00:02.6,12/3/2025 14:09:37.4,8.464 V DC,8.433 V DC,12/3/2025 14:09:36.0,8.348 V DC,Stable,12/3/2025 14:09:37.8
83,8.284 V DC,12/3/2025 14:09:37.8,0:00:02.5,12/3/2025 14:09:39.5,8.465 V DC,8.402 V DC,12/3/2025 14:09:38.9,8.254 V DC,Unstable,12/3/2025 14:09:40.3
84,8.401 V DC,12/3/2025 14:09:40.3,0:00:01.2,12/3/2025 14:09:40.8,8.464 V DC,8.427 V DC,12/3/2025 14:09:41.1,8.354 V DC,Stable,12/3/2025 14:09:41.5
85,8.174 V DC,12/3/2025 14:09:41.5,0:00:01.9,12/3/2025 14:09:42.3,8.462 V DC,8.381 V DC,12/3/2025 14:09:41.5,8.174 V DC,Unstable,12/3/2025 14:09:43.4
86,8.419 V DC,12/3/2025 14:09:43.4,0:00:02.2,12/3/2025 14:09:44.1,8.463 V DC,8.435 V DC,12/3/2025 14:09:45.1,8.368 V DC,Interval,12/3/2025 14:09:45.6
